iter	Logloss
0	0.6183619922
1	0.5540022537
2	0.5073845069
3	0.474566434
4	0.4413954558
5	0.4193740266
6	0.4007255931
7	0.3843366984
8	0.3700056047
9	0.3614826729
10	0.3548160549
11	0.349026974
12	0.3411305205
13	0.3344324914
14	0.3287045687
15	0.3234609429
16	0.3196899024
17	0.3159358374
18	0.3126788591
19	0.3095052752
20	0.3061390157
21	0.3031760638
22	0.3012449757
23	0.2991668121
24	0.2971383987
25	0.2942236303
26	0.2917523059
27	0.289568902
28	0.288098008
29	0.2864744595
30	0.2851355516
31	0.283669584
32	0.2827757126
33	0.2811839948
34	0.2798904474
35	0.2791650523
36	0.2774503365
37	0.2760341393
38	0.2741799452
39	0.2720027384
40	0.2712687901
41	0.2700952931
42	0.2694730146
43	0.2689913909
44	0.267606274
45	0.2665548523
46	0.2650771813
47	0.2640217368
48	0.2628982031
49	0.2618646123
50	0.2614120331
51	0.2595338068
52	0.2581370571
53	0.2569673948
54	0.2549187818
55	0.2540569215
56	0.2520736121
57	0.2509976004
58	0.2501743778
59	0.2490887491
60	0.2474921094
61	0.2464916453
62	0.245921361
63	0.2452724744
64	0.243909525
65	0.2421175369
66	0.2409808476
67	0.240155652
68	0.2391675137
69	0.237889625
70	0.2370632626
71	0.2351827472
72	0.2337698088
73	0.2330100536
74	0.2322150326
75	0.230813359
76	0.2299165977
77	0.2282288609
78	0.227193208
79	0.225213757
80	0.2230787947
81	0.2217236425
82	0.2206504508
83	0.2195305678
84	0.2181706961
85	0.2177141724
86	0.2164301619
87	0.2155555285
88	0.2148669897
89	0.2137054642
90	0.213444356
91	0.211998685
92	0.2106451255
93	0.2094743183
94	0.2079762108
95	0.2064914578
96	0.2056493819
97	0.2045549179
98	0.2031525219
99	0.2012614705
