iter	Passed	Remaining
0	2	202
1	4	202
2	6	205
3	8	204
4	10	200
5	12	202
6	14	199
7	17	196
8	19	195
9	21	194
10	23	186
11	24	183
12	26	180
13	28	177
14	30	174
15	32	172
16	34	170
17	36	167
18	38	164
19	40	161
20	42	159
21	44	157
22	46	154
23	47	151
24	49	149
25	51	146
26	53	143
27	55	141
28	57	139
29	58	137
30	60	135
31	62	132
32	64	130
33	66	128
34	67	126
35	69	124
36	71	121
37	73	119
38	75	118
39	77	115
40	78	113
41	80	111
42	82	109
43	84	107
44	86	105
45	88	103
46	89	101
47	91	98
48	92	96
49	94	94
50	95	91
51	97	89
52	98	87
53	99	85
54	101	82
55	102	80
56	104	78
57	105	76
58	107	74
59	109	72
60	110	70
61	112	68
62	113	66
63	115	64
64	116	62
65	117	60
66	119	58
67	121	57
68	122	55
69	124	53
70	125	51
71	127	49
72	128	47
73	130	45
74	131	43
75	133	42
76	134	40
77	136	38
78	137	36
79	138	34
80	140	32
81	141	31
82	143	29
83	144	27
84	146	25
85	147	24
86	148	22
87	150	20
88	151	18
89	153	17
90	154	15
91	156	13
92	157	11
93	158	10
94	160	8
95	161	6
96	163	5
97	164	3
98	166	1
99	167	0
